result_family	publication_source_code	tracked_publication_output	reproduction_boundary
catalogue construction	analysis/frozen_source/g5/g5_merge_catalogue.py; analysis/frozen_source/g5/g5_catalogue_v2.py; analysis/frozen_source/g5/g5_panel_lib.py	metadata/loci/repeat_catalogue.tsv	requires exact reference assemblies and historical pre-v2/workstream inputs; final authoritative catalogue is tracked
synthetic benchmark	analysis/frozen_source/g5/g5_benchmark_real.py; analysis/frozen_source/g5/g5_bench_summary.py; src/hp_phasevar/benchmark.py; src/hp_phasevar/simulate.py	results/validation/synthetic_overall.json; results/validation/synthetic_authoritative_counts.tsv	authoritative frozen aggregate counts are tracked; from-simulation regeneration also depends on the frozen catalogue
Phase-1 calling and callability	analysis/frozen_source/g5/g5_run_samples.py; analysis/frozen_source/g5/g5_phase1_tables.py; analysis/frozen_source/g5/g5_eligibility.py	results/callability/phase1_callability.tsv; results/callability/summary.tsv	requires public raw reads; exact 17.87 MB call matrix is recorded by SHA/size in results/calls/phase1_calls.MANIFEST.tsv rather than replaced by a placeholder
boundary and orthology audit	analysis/frozen_source/g6/g6_catalogue_boundary_audit.py; analysis/frozen_source/g6/g6_independent_check.py	metadata/validation/catalogue_boundary_audit.tsv	technical source is exported; independent read evidence requires public validation reads
HiFi validation	analysis/frozen_source/g6/g6_hifi_extract.py; analysis/frozen_source/g6/g6_hifi_truth.py; analysis/frozen_source/g6/g6_hifi_compare.py	results/validation/hifi_short_vs_hifi.tsv; results/validation/hifi_overall.json; results/validation/hifi_nonreference_summary.tsv	requires public HiFi/MGI reads listed in metadata/validation/hifi_manifest.tsv; tracked extractor implementation (16-mer seed plus 25-bp Hamming anchor verification) is the executed source; frozen H05 prose retains a stale 11-mer/banded implementation description, documented in manuscript Supplement S7
technical locus universe	analysis/frozen_source/g7/g7_build_locus_universe.py	metadata/loci/analysis_universe.tsv	direct inputs are tracked; upstream G6 curated closure tables remain a disclosed provenance limitation
confounding audit	analysis/frozen_source/g7/g7_confounding_audit.py	results/confounding/confounding_matrix.tsv; results/confounding/stage_by_study.tsv; results/confounding/stage_by_country.tsv; results/confounding/stage_by_platform.tsv	tracked outputs are authoritative; full harmonized metadata and its construction history remain in the development archive
G7 screening structure	analysis/frozen_source/g7/g7_build_population_structure_manifest.py; analysis/frozen_source/g7/g7_kmer_sketch_distance.py; analysis/frozen_source/g7/g7_structure_pcoa.py	analysis/frozen_source/metadata/g7/g7_population_structure_manifest.tsv	requires the public assembly set plus the frozen eight-genome reference panel; own pure-Python k-mer/MinHash implementation is SCREENING_STRUCTURE_ONLY, not an ancestry model
PRJNA678459 bounded caller input	analysis/frozen_source/g7_followup/g7f_verify_membership.py; analysis/frozen_source/g7_followup/g7f_build_qc_manifest.py; analysis/frozen_source/g7_followup/g7f_qc.py; analysis/frozen_source/g7_followup/g7f_run_caller.py; analysis/frozen_source/g7_followup/g7f_consolidate.py	results/calls/prjna678459_locus_calls.tsv	requires the public PRJNA678459 raw reads; frozen follow-up used a disease-blind cap of 500000 read fragments per sample and retained PRIMARY and PROVISIONAL classes separately
pilot disease analysis	analysis/frozen_source/g8/g8_pipeline.py	results/pilot_disease/locus_screen.tsv; results/pilot_disease/cohort_level_summary.tsv	requires Phase-1 call-matrix regeneration for PRJNA360417 and the frozen bounded PRJNA678459 caller output for a from-raw rerun; frozen rules and manuscript-facing outputs are tracked
PRJNA678459 screening-structure generation	analysis/frozen_source/g7/g7_kmer_sketch_distance.py; analysis/frozen_source/g7_followup/g7f_structure_update.py	results/structure/prjna678459_distance_matrix.tsv; results/structure/prjna678459_nearest_neighbors.tsv	requires public PRJNA678459 raw reads plus the G7 public assembly/reference structure panel; disease-blind frozen follow-up used k=21, bottom-1000 MinHash with zlib.crc32 and the first 30000 read pairs per sample
structure diagnostic overlay	analysis/frozen_source/g8/g8_structure_overlay.py	results/pilot_disease/structure_overlay_summary.tsv; results/structure/prjna678459_distance_matrix.tsv	PRJNA678459 label overlay is descriptive SCREENING_STRUCTURE_ONLY; PRJNA360417 remains NOT_PERFORMED
