rule_id	topic	rule	basis
RD01	motif_lengths	Considered motif lengths: 1 to 6 nt (mono- to hexanucleotide). Longer motifs are not scanned.	H. pylori phase variation is documented for homopolymers (poly-C/poly-G/poly-A), dinucleotide (CT)n and longer slipped-strand repeats; short-read detectability
RD02	min_tract_homopolymer	Homopolymer tract: at least 8 identical bases (pure).	literature-described PV homopolymer tracts and technical detectability; below 8 nt slippage is rare and sequencing errors dominate
RD03	min_tract_dinucleotide	Dinucleotide tract: at least 5 copies (10 bp).	(CT)n PV loci in the literature; detectability
RD04	min_tract_longer_motifs	Motif length 3 to 6: at least 4 copies for motif length 3 and 4, at least 3 copies for motif length 5 and 6, and total tract at least 12 bp.	technical detectability; slipped-strand mechanism
RD05	motif_normalization	Motif is normalized as the lexicographically smallest rotation over both strands (canonical motif). Motifs that are repeats of a shorter motif (for example ATAT) are assigned to the shortest period. Observed plus-strand motif is also recorded.	reproducible catalogue
RD06	pure_vs_interrupted	Pure tract: exact repetition of the canonical motif in one orientation. INTERRUPTED: two pure tracts (each passing RD02 to RD04) of the same canonical motif separated by a gap of 1 to 2 bp; recorded as one locus with interruption flag. COMPOUND: adjacent pure tracts of different canonical motifs separated by at most 2 bp; recorded, flagged, not caller eligible.	compound/interrupted handling defined before scanning
RD07	max_tract_length	Tracts longer than 100 bp are recorded but flagged not caller eligible.	cannot be spanned by SE150 with anchors
RD08	genomic_context	Context per locus from the annotation: CDS (tract overlaps a CDS on any strand), PROMOTER_OR_INTERGENIC_UPSTREAM (within 150 bp upstream of a CDS start on that CDS strand, not overlapping a CDS), INTERGENIC_OTHER, RNA_GENE (tRNA/rRNA/ncRNA). No expression inference is made from context.	functional interpretation frozen separately
RD09	uniqueness_flank_requirement	A locus is UNIQUELY_ANCHORABLE only if the 25 bp immediately left of the tract and the 25 bp immediately right of the tract (excluding the tract) are each present exactly once, on either strand, in the same genome (exact match) and do not contain a tract passing RD02 to RD04. Otherwise NOT_UNIQUELY_ANCHORABLE, kept in the catalogue and not caller eligible.	exclusion of low-complexity loci that cannot be uniquely anchored
RD10	flank_length_recorded	Left and right flanks of 40 bp are recorded per locus and reference (and their sha256); anchors of 25 bp are used for uniqueness.	reproducibility
RD11	evidence_classes	KNOWN_PV: locus matched to the literature list (gene and repeat motif) with experimental or strong literature support of phase variation, as recorded by workstream A. STRONG_PV_CANDIDATE: passes RD02 to RD04, pure or interrupted, UNIQUELY_ANCHORABLE, in CDS or in PROMOTER_OR_INTERGENIC_UPSTREAM, and (a) tract copy number differs between at least two ortholog members in the reference panel, or (b) the gene belongs to a pre-declared PV-associated family (RD12). REPEAT_ONLY: every other locus passing RD02 to RD04. Evidence class is never derived from disease data.	disease-blind, objective
RD12	pv_associated_families	Pre-declared families (matched on annotation product or gene name text): outer membrane protein families (hop, hor, hom, sab, bab, oip), lipopolysaccharide and glycosyltransferase genes (fut, lgt, wba, rfa, waa), type II and type III restriction-modification (mod, res, hsd, methyltransferase, restriction endonuclease), type IV secretion cag genes, flagellar and chemotaxis (fla, tlp), hypothetical proteins are NOT a family.	literature-based declaration before scanning
RD13	orthology_by_flank	Locus equivalence across references: two loci are equivalent if, for at least one side, a 25-mer flank matches with at most 2 mismatches within 5 bp of the expected position on the same or opposite strand, OR the annotated gene product and neighboring gene order agree. Equivalence groups are recorded with the basis; ambiguous multi-matches are recorded as AMBIGUOUS and not merged.	orthology without disease
RD14	locus_ids	Project locus_id = HPL followed by a zero-padded number assigned to each equivalence group in order of (reference panel order, contig, start); singletons receive their own id. Member id = locus_id plus reference short code.	stable ids
