rule_id	domain	rule	source
R01	LOCUS_UNIVERSE	PRIMARY analysis uses only the 261 frozen G7 PRIMARY_TECHNICAL mono-A/T loci (metadata/g7/g7_locus_analysis_universe.tsv, g7_locus_class==PRIMARY_TECHNICAL); unchanged from G7/G6/G5.	g7_locus_analysis_universe.tsv
R02	LOCUS_UNIVERSE	The 39 PROVISIONAL_TECHNICAL loci are a separately labeled sensitivity table only; never merged into the PRIMARY table or its BH q-value family.	g7_locus_analysis_universe.tsv
R03	LOCUS_UNIVERSE	The 1,105 PRIMARY_INELIGIBLE loci are excluded from all G8 analysis (not screened, not tested, not reported per-locus).	g7_locus_analysis_universe.tsv
R04	ALLELE	Use the dominant repeat-length allele only (caller field dominant_bp, equal to dominant_copies for mono-nucleotide loci). No ON/OFF/MIXED functional-state conversion is made anywhere in G8.	results/g5/g5_phase1_calls.tsv, results/g7_followup/g7f_locus_level_calls.tsv column definitions
R05	CONTRAST	PRJNA360417: inferential contrast is NAG (n=5) vs IM (n=6) only. AG (n=1) and DYS (n=1) are reported descriptively only, never entered into a two-group inferential test.	metadata/g3/g3_disease_pilot_manifest.tsv
R06	CONTRAST	PRJNA678459: inferential contrast is AG (n=5) vs GC (n=5), explicitly labeled STANDALONE_EXPLORATORY_LOWER_PROVENANCE because patient independence is repository-exact (BioSample host_subject_id) but not publication-corroborated. Uses only the already-accepted Issue #9 disease-blind bounded caller output (500,000 fragments/sample); the caller is NOT re-run, extended, retuned, or benchmarked in G8.	metadata/harmonized/biosample_metadata.tsv; results/g7_followup/g7f_locus_level_calls.tsv
R07	CONTRAST	PRJNA1103397: GC-only (n=6) descriptive context. No disease contrast is computed (no comparator group exists in this pilot).	metadata/g3/g3_disease_pilot_manifest.tsv
R08	CONTRAST	Every cross-study comparison (any pair among PRJNA360417 / PRJNA678459 / PRJNA1103397) is forbidden for inference in G8, per the frozen G7 confounding audit (near-total study/country confounding).	reports/g7/G7_CONFOUNDING_AUDIT.md; DECISIONS.md G7 entries
R09	SCREEN	Disease-blind per-contrast locus screen, applied to exactly the sample set used in that contrast (11 for PRJNA360417 NAG+IM; 10 for PRJNA678459 AG+GC; 6 for PRJNA1103397 GC-only), using only callability/allele statistics, never disease labels: (a) overall callability fraction across the contrast sample set >= 0.80; (b) at least 2 distinct observed dominant repeat lengths among callable samples; (c) minor-allele count (second most frequent dominant length) >= 2 among callable samples. A locus failing any condition is EXCLUDED from that contrast's inferential table (not imputed, not recoded).	this rules file, frozen before any label overlay
R10	SCREEN	Screening rule (R09) is fixed before any disease result is inspected and is not altered afterward for any reason, including to obtain significance.	CLAUDE.md rule 14
R11	COHORT_ENDPOINT	Primary cohort-level endpoint: pairwise PV allele-state distance between two samples = (# jointly callable screened-PRIMARY loci with different dominant_bp) / (# jointly callable screened-PRIMARY loci). Undefined (NA) if fewer than 10 jointly callable loci for a pair; such pairs are dropped from that cohort's distance matrix and disclosed.	this rules file
R12	COHORT_ENDPOINT	Group separation test: PERMANOVA (Anderson 2001) pseudo-F and R2 computed directly from the pairwise distance matrix (no ordination/eigendecomposition required); exact p-value from EXHAUSTIVE enumeration of every label allocation consistent with the observed group sizes (C(n, n1) allocations; all enumerated, none sampled, because n is small enough).	this rules file
R13	COHORT_ENDPOINT	Bootstrap 95% CI for R2: stratified case resampling (resample with replacement independently within each group, preserving original group sizes), 2000 replicates, Python random module seed=88022026 (fixed, documented), percentile method (2.5/97.5).	this rules file
R14	COHORT_ENDPOINT	Success is never declared from a permutation p-value alone; pseudo-F, R2, the bootstrap R2 CI, and pairwise callable-locus coverage are all reported together and interpreted jointly.	CLAUDE.md rule 14; issue #12 instruction
R15	LOCUS_ENDPOINT	Secondary locus-level endpoint, computed only for loci passing R09 in that contrast: exhaustive-label permutation test on the mean dominant_bp difference between groups (restricted to samples callable at that locus, preserving each group's callable count); exact p from full enumeration of C(n_callable, n1_callable) allocations.	this rules file
R16	LOCUS_ENDPOINT	Report per locus: group n (callable), group medians, mean difference (group2-group1 as defined per contrast), Cliff's delta, bootstrap 95% CI for the mean difference (stratified case resampling within each group, 2000 replicates, seed=88022026), exact permutation p, and BH (Benjamini-Hochberg) q-value within that cohort's PRIMARY table only.	this rules file
R17	LOCUS_ENDPOINT	All screened PRIMARY loci for a contrast are reported in the output table regardless of p-value; no post-hoc selection, filtering, or threshold redefinition after seeing results.	CLAUDE.md rule 14; issue #12 instruction
R18	LOCUS_ENDPOINT	PROVISIONAL_TECHNICAL loci passing R09 are run through the identical R15/R16 procedure but written to a separately labeled sensitivity table per contrast; never pooled into the PRIMARY BH q-value family; no primary claim is drawn from this table alone.	this rules file
R19	STRUCTURE	Population-structure overlay uses only already-frozen, disease-blind SCREENING_STRUCTURE_ONLY distance results computed in prior gates. For PRJNA678459: the frozen G7-follow-up read-based k-mer/MinHash distance matrix (results/g7_followup/g7f_structure_distance_matrix.tsv), restricted to the 10 relevant samples, overlaid with AG/GC labels after the fact. For PRJNA360417: no existing disease-blind structure result exists in the repository, and the raw reads used for the G4/G5 Phase-1 caller run are no longer present under data/raw (only derived caller output is preserved); recomputing from reads would require RAW_READ_DOWNLOAD, which is not authorized in this gate. This sub-item is therefore NOT_PERFORMED for PRJNA360417 and is disclosed, not fabricated or approximated.	data/raw directory listing (this gate); metadata/g7_followup, results/g7_followup
R20	STRUCTURE	SCREENING_STRUCTURE_ONLY overlay results are descriptive only; no claim of ancestry adjustment or definitive confounding correction is made; no multivariable model is fit given tiny n.	CLAUDE.md rule 6, 14; issue #12 instruction
R21	INTERPRETATION	Association is never interpreted as causation. PRJNA678459 remains exploratory/lower-provenance throughout. The PRJNA678459 caller input is bounded to 500,000 fragments/sample and is described as such wherever its results are reported; no claim of full-depth caller validation/hardening is made.	issue #12 section 7
R22	INTERPRETATION	Negative or null results are preserved and reported exactly as obtained; a negative/null result never triggers a change to R09-R18.	CLAUDE.md rule 15
