rule_id	topic	rule
AR01	scope	Automated, disease-blind audit of all 1,405 loci of the G5 catalogue (metadata/g5/g5_repeat_catalogue.tsv, g5_locus_orthology.tsv). Inputs: reference-panel sequence, orthology and member structure, and the frozen G6 technical long-context evidence for the three loci named by the supervisor. No disease data. Repeat-discovery thresholds, locus IDs and tract definitions are NOT changed.
AR02	motif_and_boundary_consistency	For loci with at least 2 members: all members must share the same canonical motif, and for motif length k at least 2 all pairwise tract-length differences must be multiples of k. Violation: BOUNDARY_AMBIGUOUS. Tract-length polymorphism itself is not a violation.
AR03	context_consistency	Members of a locus must share the same coarse context class (CDS versus non-CDS). Violation: BOUNDARY_AMBIGUOUS.
AR04	flank_homology	For every member pair the 25 bp anchors adjacent to the tract are compared, in both relative orientations (same orientation: left with left, right with right; opposite: left with reverse complement of right and right with reverse complement of left), ungapped with shifts of -3 to +3 bp. A pair is homologous if in the better orientation both flank identities are at least 0.72. A pair is one-sided if only one flank reaches 0.72. The locus tract context is consistent only if the homology graph over its members is connected. Not connected (non-homologous anchors, or members linked only one-sidedly): BOUNDARY_AMBIGUOUS.
AR05	orthology_support	ORTHOLOGY_AMBIGUOUS if any member has an orthology ambiguity flag other than NONE, or an orthology basis without any flank evidence (product/neighbor only), or if two members of the locus come from the same reference genome.
AR06	singletons	Loci with a single member have no cross-member evidence of boundary stability: INSUFFICIENT_TO_RESOLVE. Loci whose anchors are shorter than 25 bp or contain N: INSUFFICIENT_TO_RESOLVE.
AR07	precedence	ORTHOLOGY_AMBIGUOUS, then BOUNDARY_AMBIGUOUS, then INSUFFICIENT_TO_RESOLVE, otherwise BOUNDARY_STABLE.
AR08	technical_long_context_override	HPL00546, HPL00438 and HPL00690 (named by the supervisor) are dispositioned from the independent alignment evidence in the G6 report irrespective of the sequence-only audit result: HPL00546 and HPL00438 BOUNDARY_AMBIGUOUS, HPL00690 ORTHOLOGY_MEMBER_AMBIGUOUS. The post-hoc tract-zone analysis is used only as POST_HOC_DIAGNOSTIC_ONLY evidence for these three loci and is not a calling rule.
AR09	eligibility	primary_technical_eligibility = ELIGIBLE_BOUNDARY_STABLE only when the audit status is BOUNDARY_STABLE; any other status is technically ineligible for primary cross-cohort disease inference unless resolved later by a documented disease-blind rule.
RV01	revalidation	Validation summaries are recomputed from the existing frozen comparison tables (never regenerated) for: all original comparisons; comparisons at BOUNDARY_STABLE loci; comparisons excluding only loci flagged BOUNDARY_AMBIGUOUS or ORTHOLOGY_AMBIGUOUS (sensitivity); each split into reference-length and non-reference truth and by motif class. An ambiguous independent check is never counted as confirmed.
RV02	mono_AT_non_reference_reporting	For mono A/T non-reference comparisons: number, independently confirmed, independently ambiguous, independently discordant (frozen independent check), and number removed because the locus is boundary-ambiguous or not stable.
RV03	mono_AT_promotion_criterion	MONO_AT is EMPIRICALLY_VALIDATED_EXACT only if, at BOUNDARY_STABLE loci, there are at least 20 non-reference comparisons at at least 5 distinct loci in at least 3 isolates, exact concordance among them at least 0.95 with Wilson 95% lower bound at least 0.85, and no systematic residual discordance (fewer than 20 discordant calls with a shared sign, or no dominant sign among discordant calls).
RV04	other_classes	MONO_GC, DINUCLEOTIDE, TRINUCLEOTIDE and MOTIF_GE4 are SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED and are not promoted because all observed alleles equal the panel reference length. KNOWN_PV and MIXTURE are INSUFFICIENT_EMPIRICAL_VALIDATION.
RV05	closure	G6 closes as PASS_WITH_WARNINGS only if the boundary-stable subset shows no systematic residual exact-repeat discordance; otherwise STOP.
EL01	primary_eligibility_policy	A locus proceeds to G7 only if: not PLATFORM_CONFOUNDED_CALLABILITY (G5), audit status BOUNDARY_STABLE, motif class not INSUFFICIENT_EMPIRICAL_VALIDATION, and callable under the frozen G5 rules. SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED loci proceed provisionally, stay flagged and cannot support a strong primary claim without later orthogonal evidence if they become key candidates. KNOWN_PV and MIXTURE remain non-primary. No disease result may alter this eligibility.
