gene_name	locus_tags_by_reference	product	repeat_motif	repeat_type	repeat_position_context	mechanism	effect_on_expression	known_on_off_interpretation	tract_lengths_reported	evidence_strength	source_ref	quote_or_locator	retrieved_date	notes	catalogue_locus_ids_matched	catalogue_match_basis	reconciliation_outcome
futA/futB (alpha-1,3-fucosyltransferases; two genes)	26695:HP0379 and HP0651 (both stated as alpha-1,3-FT in PMID:16981984; which is futA vs futB NOT_FOUND in sources read)	alpha-1,3-fucosyltransferase	poly(C)	homopolymer	CDS (tract in gene; exact position NOT_FOUND)	slipped-strand: tract shortens or lengthens randomly	reversible frameshift and inactivation of gene product; on/off status determines LPS serotype	frame-dependent ON/OFF (Appelmelk 1999: reversible frameshifting, on or off status)	HP0651 orthologues: long homopolymeric C repeat in some strains vs short hexamer not predicted to mediate PV (PMID:16981984, PMC1599737 text); numeric lengths NOT_FOUND in text read	EXPERIMENTAL_PV	PMID:10496917 (10.1128/iai.67.10.5361-5366.1999) abstract; PMID:16981984 Results	tracts can shorten or lengthen randomly	2026-09-21	Usually one of the two alpha-1,3-FT genes is PV, the other not (Salaun 2006). futA/futB/futC naming per PMC9136243 review: polyC in futA, futB, futC. Mapping of HP0379/HP0651 to futA/futB not stated in sources read.	HPL00110;HPL00196	see g5_known_pv_reconciliation.tsv	CATALOGUE_PRESENT_UNANCHORABLE
futC (Lewis y, alpha-1,3/4-FT), also beta-(1,3)galT	NOT_FOUND (jhp0563 appears only as a primer name in PMC2806470; not treated as a stated locus tag)	alpha-1,3/4 fucosyltransferase futC; beta-1,3-galactosyltransferase	poly(C)	homopolymer	CDS (as stated: poly-C tract regulates translation)	slipped-strand mispairing, metastable poly-C tracts	poly-C tract length likely regulates translation; futC PV among single colonies	poly-C length regulates translation; exact frame rule for beta-(1,3)galT: C16 in strain 03-270 critical for Leb expression (not a general rule)	beta-(1,3)galT C16 in strain 03-270; futC tract lengths NOT_FOUND numerically in text read	EXPERIMENTAL_PV	PMC2806470 (10.1084/jem.20090683) Results/Discussion	poly-C tract length likely regulates translation	2026-09-21	Mouse Leb-transgenic model. Locus tags NOT_FOUND. Title cites 'Role of futC slipped strand mispairing in H. pylori Lewis y phase variation' (reference in PMC2806470 list; not opened).	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
HP0093 (alpha-1,2-fucosyltransferase)	26695:HP0093	alpha-1,2-fucosyltransferase	NOT_FOUND (repeat type not stated in text read)	NOT_FOUND	NOT_FOUND	repeat-associated; reading frame disrupted by repeat (Saunders 1998)	alpha(1-2)FT needed for Lewis Y; ORF disrupted by repeat in some sequence	not established (frame disruption noted only)	NOT_FOUND	STRONG_LITERATURE	PMID:9570395 abstract; PMID:16981984 (HP0093 listed among seven PV LPS genes)	reading frame of some ORFs disrupted by repeats, including alpha(1-2)FT	2026-09-21	Motif not extracted; check Salaun 2004 Table (not open access).	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
HP0619 (lex2B homologue, glycosyltransferase)	26695:HP0619; related non-PV jhp0562 in J99 (PMC1599737)	glycosyltransferase homologue of Lex2B	NOT_FOUND	NOT_FOUND	NOT_FOUND	homopolymeric tract (as stated)	LPS biosynthesis PV	not established	NOT_FOUND	STRONG_LITERATURE	PMID:16981984 (PMC1599737) Results	HP0619 is a homologue of lex2B, which is phase variable	2026-09-21	jhp0562 stated not PV.	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
HP0208 and jhp0820 (rfaJ homologues, alpha-1,2-glycosyltransferases)	26695:HP0208; J99:jhp0820	alpha-1,2-glycosyltransferase (RfaJ homologue)	homopolymeric tract (as stated)	homopolymer	NOT_FOUND	homopolymeric tracts sufficiently long to mediate PV	LPS biosynthesis PV	not established	tracts intact and long enough in strains L133, C164 for jhp0820 equivalent; numeric NOT_FOUND	STRONG_LITERATURE	PMID:16981984 (PMC1599737) Results	intact homopolymeric tracts sufficiently long to mediate phase variation	2026-09-21	Stabilized (non-PV) tracts in some strains per same source.	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
HP0217 (beta-1,4-N-acetylgalactosaminyltransferase)	26695:HP0217	beta-1,4-N-acetylgalactosaminyl transferase	NOT_FOUND	NOT_FOUND	NOT_FOUND	PV gene per Salaun & Saunders	LPS biosynthesis PV	not established	NOT_FOUND	STRONG_LITERATURE	PMID:16981984 (PMC1599737) Results	seven phase variable LPS biosynthetic genes ... HP0217	2026-09-21		NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
sabA	26695:HP0725; J99: jhp locus NOT_FOUND (arsS is jhp0151/HP0165, not sabA)	sialic acid-binding adhesin SabA	CT dinucleotide in CDS 5' region; poly-T in promoter	dinucleotide (CDS) and homopolymer (promoter)	CDS 5' region and promoter	slipped-strand mispairing	CT length gives premature stop or full-length SabA; poly-T tract affects transcription	frame-dependent ON/OFF for CT repeat (stated); promoter poly-T effect not quantified in sources	26695: poly-T 14 bp promoter, 6 CT repeats out-of-frame; J99: 10 CT repeats in Mahdavi vs 9 in GenBank (PMC8310295); 49 % of 89 strains predicted in-frame (de Jonge 2004)	EXPERIMENTAL_PV	PMID:18667556 (10.1099/mic.0.2007/016055-0) Results, Fig.1; PMID:15068418	premature termination codon ... or full-length functional SabA	2026-09-21	Goodwin 2008 shows multiple sabA alleles within one strain and one patient. Conflict: J99 CT count 10 vs 9 (record, unresolved).	HPL00218;HPL00219	see g5_known_pv_reconciliation.tsv	CATALOGUE_PRESENT_OTHER_UNCALLABLE;CATALOGUE_PRESENT_UNANCHORABLE
sabB	NOT_FOUND	outer membrane protein SabB	CT dinucleotide (coding region, as stated); poly-T promoter noted in PMC5700931 for hopZ/sabB	dinucleotide	CDS	slipped-strand (dinucleotide repeats in coding regions)	on/off expression by repeats	on/off by sequence (de Jonge 2004)	NOT_FOUND numerically	STRONG_LITERATURE	PMID:15068418 abstract; PMC5700931 Results	regulated by phase-variable dinucleotide repeats in coding regions	2026-09-21	sabB off-status associated with duodenal ulcer in the source; disease data not used here (only literature citation).	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
hopZ	NOT_FOUND	outer membrane protein HopZ	CT dinucleotide	dinucleotide	CDS signal-peptide coding region (N-terminal)	slipped-strand mispairing	translational regulation; ON variants selected in vivo	frame-dependent ON/OFF (Peck 1999: expression regulated at translation level per abstract)	NOT_FOUND numerically	EXPERIMENTAL_PV	PMID:10454640 (10.1093/nar/27.16.3325) abstract; PMID:23027539 (10.1128/iai.00977-12) abstract	CT repeat in signal-peptide coding region	2026-09-21	Two allelic variants exist. Peck 1999 says 'possible regulation'; Kennemann 2012 shows ON variants in vivo (experimental).	HPL00005	see g5_known_pv_reconciliation.tsv	CATALOGUE_PRESENT_CALLABLE
oipA (hopH)	26695:HP0638 (Farzi 2018 abstract)	outer inflammatory protein A	CT dinucleotide	dinucleotide	CDS 5' region (signal peptide)	slipped-strand mispairing	frame-shift alters expression	frame-dependent ON/OFF by convention, BUT PMC10564699 (PMID for article: not extracted; 10.1186/s13568-023-01621-z) reports CT counts poorly discriminate status; conserved FWLHA pentamer in ON	CT repeat number variable; no fixed count-to-status pattern (PMC10564699)	EXPERIMENTAL_PV	10.1186/s13568-023-01621-z Results; PMID:29452293 abstract; PMID:15131212 (protein expression correlates with sequence status)	absence of a pattern between number of CT repeats and status	2026-09-21	CONFLICT: count-based rule vs in-frame/FWLHA rule; recorded not resolved. Kudo 2004 links sequence status to protein expression.	HPL00195	see g5_known_pv_reconciliation.tsv	CATALOGUE_PRESENT_CALLABLE
babA	NOT_FOUND	blood group antigen-binding adhesin BabA	CT dinucleotide	dinucleotide	CDS 5' region	slipped-strand mispairing (also gene conversion with babB)	loss of BabA by PV or babB gene conversion in animal models	frame-dependent ON/OFF as stated in reviews; exact rule not established from primary text read	NOT_FOUND	STRONG_LITERATURE	PMID:28396320 abstract (10.1128/iai.00094-17); PMC12915409 refs [131,132]; PMID:28418004	lost, either by phase variation or by gene conversion	2026-09-21	Primary Solnick 2004 not retrieved. Repeat can also be lost by babB recombination, so repeat alone not proof.	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
