rule_id	topic	rule	note
H01	scope	HiFi rescue set: 5 isolates from 5 distinct patients (GSA CRA026546, PRJCA041148): P25-IA, P23-IA, P1-A1, P2-C, P4-A2; one PacBio Sequel II CCS run and one MGISEQ-2000 paired-end run per isolate under the same GSA BioSample; 14.16 GB (metadata/g6/g6_hifi_manifest.tsv). No other data, no Stage B, no PRJNA281410.	conditional authorization
H02	selection_rule_H-SEL	Deterministic and disease-blind: for each patient take the isolate with the largest CCS yield (bytes, tie by run accession); rank patients by that yield; take patients in order while cumulative pair bytes (CCS plus both short-read files) stay at or below 15 GB and at most 8. Only file sizes and accessions were used; no disease, clinical, susceptibility or anatomical-site information. Prospective coverage of motif classes, KNOWN_PV loci and tract lengths could not be computed before reads exist; the rule maximizes HiFi yield (spanning depth) and strain diversity across patients.	limitation recorded
H03	independence	Truth uses RAW CCS reads only. Authors long-read assemblies are polished with the same short reads (Pilon) and are NOT used. Same-isolate linkage is by identical GSA BioSample accession and isolate alias; whether both libraries used one DNA aliquot is not stated (recorded caveat).	short-read polished assemblies are not truth
H04	short_read_calls	Frozen G5 caller (rules sha256 847c70cb...), catalogue v2, unchanged. MGISEQ-2000 paired reads are called with the existing pipeline; no retuning.	no retuning
H05	hifi_locus_evidence	25 bp left and right catalogue anchors located in CCS reads by exact 11-mer seeding plus banded semi-global edit distance (at most 2 edits per anchor for HiFi), both strands, both anchors in order, tract 0 to 150 bp, cross-locus arbitration as in the G6 Stage A long-read extractor, members of a locus consolidated by the member with most spanning reads; conflicting members preserved.	HiFi read accuracy assumed high; anchors stricter than ONT
H06	HIGH_CONFIDENCE_HIFI_TRUTH	At least 20 spanning HiFi reads AND the dominant tract length holds at least 0.90 of spanning reads AND (motif length at least 2) the dominant allele is unit-aligned (length divisible by the motif length) AND both strands each contribute at least 2 dominant-allele reads.	strand support required
H07	MIXED_HIFI_TRUTH	At least 20 spanning reads and two alleles each holding at least 15% of reads and at least 5 reads, each with at least 2 reads on each strand, together at least 90% of spanning reads; motif length at least 2: both unit-aligned and at least one unit apart; motif length 1: at least 2 bp apart.	-
H08	UNCALLABLE_HIFI	Fewer than 10 spanning HiFi reads or no anchors resolved.	-
H09	AMBIGUOUS_HIFI	Everything else with at least 10 spanning reads (10 to 19 reads, dominant fraction below 0.90 without a mixture, non-unit-aligned dominant allele, one-strand-only support, member conflict). Ambiguous truth is never scored; prefer AMBIGUOUS_HIFI over forcing a consensus.	-
H10	recorded_fields	Per isolate x locus: spanning HiFi depth, full allele distribution, dominant allele, dominant fraction, strand counts, repeat count (dominant length / motif length), truth confidence, motif class, KNOWN_PV status.	-
H11	comparison	Universe: short-read callable = YES and truth HIGH_CONFIDENCE_HIFI_TRUTH or MIXED_HIFI_TRUTH. Exact concordance = short dominant_bp equals HiFi dominant_bp; +/-1 bp is NOT counted as correct. Repeat-count (bp) delta distributions are reported per stratum. A within-one-motif-unit rate is reported separately as an error-profile metric only.	primary metric exact
H12	strata	Reported separately: mono A/T, mono G/C, dinucleotide, trinucleotide, motif length 4 or more, KNOWN_PV; plus tract-length bins (at most 10, 11 to 15, 16 or more bp) and per isolate.	-
H13	motif_status_criteria	Status per motif class from HiFi comparisons. Minimum comparisons N_min (each from at least 3 isolates): mono A/T 100, mono G/C 50, dinucleotide 30, trinucleotide 30, motif length 4 or more 20, KNOWN_PV 12 (at least 3 loci). VALIDATED_EXACT: comparisons at least N_min AND exact concordance at least 0.95 AND Wilson 95% lower bound at least 0.90 AND no systematic directional bias (among discordant calls at most 70% share one sign, or fewer than 20 discordant). VALIDATED_WITH_LIMITATION: comparisons at least N_min AND exact concordance 0.90 to below 0.95 or lower bound 0.85 to below 0.90 (all without systematic bias), OR comparisons between 0.5 x N_min and N_min with exact concordance at least 0.95. UNVALIDATED_SYSTEMATIC_DISCORDANCE: comparisons at least 0.5 x N_min AND (exact concordance below 0.90 OR at least 20 discordant calls with more than 70% of one sign). UNVALIDATED_INSUFFICIENT_TRUTH: comparisons below 0.5 x N_min. The statuses constrain G7/G8 primary eligibility and are never changed because of disease results.	pre-specified before any comparison
H14	no_disease	No disease label is read; patient and site identifiers are used only to keep isolates from distinct patients.	-
H15	stop	Stage B (ONT) is not started. Results are reported as they are; criteria are not weakened to obtain PASS.	supervisor rule
